Date,Mobile subscribers per capita (divide total mobile users by total population),Business: Internet users (per 100 people),Region
2000-07-01,0.03819,1.0,Europe
2000-07-01,0.01664,1.0,Europe
2000-07-01,0.00970,0.0,Europe
2000-07-01,0.00493,2.0,Europe
2000-07-01,0.02528,1.0,Europe
2000-07-01,0.09033,5.0,Europe
2000-07-01,0.11135,4.0,Europe
2000-07-01,0.02230,2.0,Europe
2000-07-01,0.14973,6.0,Europe
2000-07-01,0.16910,6.0,Europe
2000-07-01,0.40671,29.0,Europe
2000-07-01,0.25356,4.0,Europe
2000-07-01,0.17546,7.0,Europe
2000-07-01,0.30127,7.0,Europe
2000-07-01,0.23339,7.0,Europe
2000-07-01,0.23080,9.0,Europe
2000-07-01,0.42308,10.0,Europe
2000-07-01,0.61118,15.0,Europe
2000-07-01,0.30009,14.0,Europe
2000-07-01,0.54339,9.0,Europe
2000-07-01,0.65178,17.0,Europe
2000-07-01,0.23145,15.0,Europe
2000-07-01,0.60266,14.0,Europe
2000-07-01,0.36425,11.0,Europe
2000-07-01,0.74191,23.0,Europe
2000-07-01,0.47696,14.0,Europe
2000-07-01,0.54910,29.0,Europe
2000-07-01,0.58632,30.0,Europe
2000-07-01,0.72034,37.0,Europe
2000-07-01,0.76352,34.0,Europe
2000-07-01,0.67533,44.0,Europe
2000-07-01,0.73782,27.0,Europe
2000-07-01,0.64675,18.0,Europe
2000-07-01,0.71824,46.0,Europe
2000-07-01,0.53781,49.0,Europe
2000-07-01,0.62992,39.0,Europe
2000-07-01,0.76420,44.0,Europe
2000-07-01,0.64565,47.0,Europe
2000-07-01,0.71789,27.0,Europe
2000-07-01,0.69510,23.0,Europe
2000-07-01,0.30439,37.0,Europe
2000-07-01,0.00636,0.0,The Americas
2000-07-01,0.01780,1.0,The Americas
2000-07-01,0.05433,7.0,The Americas
2000-07-01,0.07013,1.0,The Americas
2000-07-01,0.02497,1.0,The Americas
2000-07-01,0.03906,1.0,The Americas
2000-07-01,0.15361,1.0,The Americas
2000-07-01,0.07625,1.0,The Americas
2000-07-01,0.08793,3.0,The Americas
2000-07-01,0.04926,3.0,The Americas
2000-07-01,0.12518,1.0,The Americas
2000-07-01,0.05675,2.0,The Americas
2000-07-01,0.00059,1.0,The Americas
2000-07-01,0.08210,4.0,The Americas
2000-07-01,0.06730,6.0,The Americas
2000-07-01,0.14171,3.0,The Americas
2000-07-01,0.02188,3.0,The Americas
2000-07-01,0.13294,3.0,The Americas
2000-07-01,0.13883,7.0,The Americas
2000-07-01,0.05399,6.0,The Americas
2000-07-01,0.01603,5.0,The Americas
2000-07-01,0.01722,9.0,The Americas
2000-07-01,0.22059,17.0,The Americas
2000-07-01,0.04236,4.0,The Americas
2000-07-01,0.14084,5.0,The Americas
2000-07-01,0.12527,8.0,The Americas
2000-07-01,0.12445,11.0,The Americas
2000-07-01,0.17568,7.0,The Americas
2000-07-01,0.02710,6.0,The Americas
2000-07-01,0.10641,4.0,The Americas
2000-07-01,0.28330,6.0,The Americas
2000-07-01,0.28362,51.0,The Americas
2000-07-01,0.38800,43.0,The Americas
